"people must understand depth what’s happening here: president united states ordered halt deportations. ice, federal agency, refusing comply. there’s reforming rogue dept. it’s time new, vision. #freemariana &amp; #abolishice ",@aoc,liberal
donations super helpful! we’ve got link here: ,@aoc,liberal
quick update homework helper program: assigned first family! i’ll tutoring 1st grader reading &amp; writing hr/week next weeks. tips helping kids learn sound words? let know! :) ,@aoc,liberal
"obama-era rule reversed trump. it’s great it’s restored quickly. organize more. it’s time push also end for-profit immigrant detention, abolish death penalty, reduce overall incarceration, &amp; more. ",@aoc,liberal
"great development &amp; important step. there’s done end for-profit caging people us. must include ending for-profit immigrant detention &amp; examine use for-profit services squeeze families incarcerated public prisons, too. ",@aoc,liberal
"quick question: someone helped bomb building incited assassination attempt congress, think face trial? it’s simple yes no. yes = impeachment = integrity speak justice system, terrorism, &amp; policing ever ",@aoc,liberal
breaking: u.s. capitol police knew “strong potential violence” jan. 6th failed take adequate st… ,@aoc,liberal
might heard office comptroller currency. there’s fight biden admin… ,@aoc,liberal
"last congress cosponsored resolution expressing climate emergency, address reverse c… ",@aoc,liberal
let record reflect close second! yeah crazy good ,@aoc,liberal
"dunno, you’re politician thinks ending discrimination “divisive,” might want publicly advertise ",@aoc,liberal
"republicans suddenly begun deeply value prioritize bipartisanship washington, start supporting $2k checks retroactive unemployment people. bipartisan ",@aoc,liberal
"know you’re used these, they’re called consequences, josh. you’re handling poorly. resign. ",@aoc,liberal
"folks clear, former immigration &amp; social justice attorney, watched firsthand president obama, an… ",@aoc,liberal
"listening them, you’d really think conservatives interpret right free speech “i right liked, accepted, popular matter say, endanger, much lie” ",@aoc,liberal
"given prime space say billionaire-run rag specifically amplifies right-wing views, part entire subsidized industry right-wing outlets. you’re “muzzled,” hawley. you’re deeply unpopular, aided insurrection. need resign. ",@aoc,liberal
don’t let hook. don’t let make “hollywood” — ted cruz aiding abetting insu… ,@aoc,liberal
let's clear: banking policy racial justice issue one knows better str… ,@aoc,liberal
"no, no. people committed crimes charged. peacefully protesting trump’s horrific policy o… ",@aoc,liberal
"guard allowed back capitol, sent team three hand deliver snacks capitol since resting spot restored. there’s timestamp post, it’s possible may visited team capitol making delivery. ",@aoc,liberal
"1994, democrats power lost big bold. 2010, happened again. take aggr… ",@aoc,liberal
og mittens ,@aoc,liberal
"lie. jan baier: trying say that, january 20, president trump president? hawle… ",@aoc,liberal
hawley senator missouri. constituents people missouri - state elected sister first black woman ever represent mo congress. hawley really needs clarify considers constituent &amp; doesn’t. ,@aoc,liberal
sen. hawley trying wiggle inciting riot killed saying “i representing constituents” - wish overturn election resurrect confederacy. ,@aoc,liberal
"food produce workers wanted $1 raise risking lives covid. denied, asked pay healthcare, &amp; told “you’re lucky even job.” went strike. community supported them. they’re getting $1.85 raise $0 pocket. ",@aoc,liberal
aoc says fema preparing cover $2 billion covid-19 funeral costs across us: 'we finally got done' ,@aoc,liberal
"""yes, change happens ballot box. yes, change happens policy. change happens picket-line too, can't… ",@aoc,liberal
bronx better ,@aoc,liberal
breaking: teamsters local reached tentative agreement hunts point produce market owners following week… ,@aoc,liberal
let’s go! ,@aoc,liberal
another night picket line never know you’re going meet huge thank showed solidarity produce workers delivered pizza keep party bumping. happy help hand out! ,@aoc,liberal
padma donated them! ,@aoc,liberal
deleted it. still gotta let unionize though ,@aoc,liberal
"one hand laugh, know reason brazen thought going succeed. ",@aoc,liberal
"“just wanted incriminate little” well, did! ",@aoc,liberal
cool meme let workers unionize ,@aoc,liberal
i’ll follow see we’ve started case ,@aoc,liberal
"like bernie memes, going love medicare all. ",@aoc,liberal
"sen. richard blumenthal cnn hawley cruz: ""if facts warrant it, ethics commission recommends it, wo… ",@aoc,liberal
"jerky, cookies, goldfish, fruit snacks, chips, etc ",@aoc,liberal
update part 2: snacks delivered! ,@aoc,liberal
"representative co-led letter nyc congressional delegation, demanding federal intervention. ess… ",@aoc,liberal
it’s already passed signed law - tucked last covid bill trump signed. ,@aoc,liberal
"people asking: yes! secured covid funeral cost reimbursements nationwide. effort inspired district, legislation covers impacted families united states. details come fema finalizes distribution details. ",@aoc,liberal
country-wide! ,@aoc,liberal
"dad passed away teen, &amp; arrange services. funeral expenses part financial devastation, never wanted anyone else experience that. much left do. fight m4a &amp; more, small yet crucial victory. ",@aoc,liberal
"soon fema distribution details finalized, we’ll share get needed relief. aim covid losses eligible. thank many partners process get done. ",@aoc,liberal
"many months work, tumult late dec covid package finally able work fema funeral reimbursement everyone country lost loved one due covid. current status: $2 billion approved, fema setting program. ",@aoc,liberal
"effort began elmhurst community leaders flagging early disparate impact covid cases compounded w/ devastating economic impact funeral expenses. got work right away, partnered w/ prioritize relief. ",@aoc,liberal
"bx+queens district became covid-hit country, spent much last year working issue devastating families: funeral costs. finally got done. people soon able get covid funeral costs reimbursed. ",@aoc,liberal
"breaking: house speaker nancy pelosi plans send article impeachment donald trump senate monday, launchi… ",@aoc,liberal
"myself, &amp; ",@aoc,liberal
"gop lawmakers campaigned images cocking guns next photos myself, trying violate dc law house rules sneak guns onto house floor two weeks white supremacist insurrection killed people. why? ",@aoc,liberal
"kevin, american troops capitol you, along members caucus, helped incite the… ",@aoc,liberal
"""let's bring vote expel ted cruz josh hawley senate,"" says rep. ""we actually brin… ",@aoc,liberal
hope baby well! ,@aoc,liberal
"update: looks like they’re letting back capitol. offer snacks, etc still stands! ",@aoc,liberal
"rep. malliotakis deliberately amplified known lie tried overturn election it, incited insurrection white supremacists killed people. district 30-40% people color. safe think feel leadership? shameful. ",@aoc,liberal
top winter picket line accessories: bullhorn gloves handwarmers solidarity shout covering important issues depth deserve. let’s get produce workers buck they’re asking for. ,@aoc,liberal
"yeah okay. office free week service members who’d like use break take nap couch. we’ll stock snacks too. (we’re middle moving offices it’s bit messy don’t judge, make home!) ",@aoc,liberal
live shortly cnn rep. ,@aoc,liberal
"in: washington post reports michael flynn's brother, gen. charles flynn, pentagon call capitol police… ",@aoc,liberal
local still strike joined them. might strike too. peter robb o… ,@aoc,liberal
check picket line last night! proud stand elected officials know th… ,@aoc,liberal
"starting today, mandate deliver people. $2000 checks. green new deal. medicare all. tuition free colleg… ",@aoc,liberal
"""when standing line, asking $1, asking transformational change li… ",@aoc,liberal
love back! ,@aoc,liberal
nice tweet sen. cruz! quick question: also believe geneva convention views citizens geneva? asking everyone believes us senators competent undermine elections incite insurrection united states ,@aoc,liberal
"rep. joined picket line hunts point market workers' strike, employees demanding raise after… ",@aoc,liberal
made tiktok summarizing situation #huntspointstrike. need turn essential workers dese… ,@aoc,liberal
!!! ,@aoc,liberal
ok let’s cancel ,@aoc,liberal
"it’s embarrassing corporation enjoying pandemic profits, millions ppp &amp; tax giveaways fighting $1 raise essential workers who‘ve risked lives year feed us. it’s time stand essential workers everywhere. thank ",@aoc,liberal
".@aoc working bullhorn picket line 1,400 striking hunts grocery workers bronx ",@aoc,liberal
aoc visits striking produce workers — essential workers want modest raise — hunts point market south bronx: ,@aoc,liberal
"elections consequences. biden within hours taking oath office able to: revoke muslim ban, rejoin paris cl… ",@aoc,liberal
see there! #huntspointstrike ,@aoc,liberal
stocking bustelo + hot chocolate support picket line workers later! hundreds strike hunts point market bronx $1 raise. need support! check story &amp; thank food worker today ,@aoc,liberal
somehow weathered witnessed nation broken simply unfinished always light we're… ,@aoc,liberal
"historic day. congratulations new president new vice president must begin creating justice, healing planet, improving material conditions people. work us organize build better future. ",@aoc,liberal
"american people saying congress: elected you. something. democrats respond pain now, republicans win 2022. ",@berniesanders,liberal
"republicans want come board pass covid relief now, let’s it. aren’t going wait weeks weeks get american people, living economic desperation time since great depression, help need. ",@berniesanders,liberal
"1994, democrats power lost big bold. 2010, happened again. take aggressive action protect working families, happen 2022. ",@berniesanders,liberal
"vermont, know something cold. we’re concerned good fashion. ",@berniesanders,liberal
"hank aaron’s ability field eclipsed strength courage showed it. inspired millions us watched awe. deeply missed, never forgotten. ",@berniesanders,liberal
"cannot reach republicans indefinitely. choose come board help american people now, majority. use majority. ",@berniesanders,liberal
"president joe biden knows together. world war ii, factories across country played role winning war. today's executive action means use defense production act save countless lives home. ",@berniesanders,liberal
stand workers walking today fighting first union contract. new yorker sit workers negotiate fair contract good faith. ,@berniesanders,liberal
"half american workers living paycheck paycheck, millions earn starvation wages. democratic control white house, senate house, must raise minimum wage living wage – $15 hour. excuses. ",@berniesanders,liberal
